date,deceased.0-4.todate,deceased.5-14.todate,deceased.15-24.todate,deceased.25-34.todate,deceased.35-44.todate,deceased.45-54.todate,deceased.55-64.todate,deceased.65-74.todate,deceased.75-84.todate,deceased.85+.todate,deceased.todate,deceased.female.todate,deceased.male.todate
2020-03-04,,,,,,,,,,,,,
2020-03-05,,,,,,,,,,,,,
2020-03-06,,,,,,,,,,,,,
2020-03-07,,,,,,,,,,,,,
2020-03-08,,,,,,,,,,,,,
2020-03-09,,,,,,,,,,,,,
2020-03-10,,,,,,,,,,,,,
2020-03-11,,,,,,,,,,,,,
2020-03-12,,,,,,,,,,,,,
2020-03-13,,,,,,,,,,,,,
2020-03-14,,,,,,,,1,,,1,,1
2020-03-15,,,,,,,,1,,,1,,1
2020-03-16,,,,,,,,1,,,1,,1
2020-03-17,,,,,,,,1,,,1,,1
2020-03-18,,,,,,,,1,,,1,,1
2020-03-19,,,,,,,,1,,,1,,1
2020-03-20,,,,,,,,1,,,1,,1
2020-03-21,,,,,,,,1,,,1,,1
2020-03-22,,,,,,,,1,,1,2,1,1
2020-03-23,,,,,,,,2,,1,3,1,2
2020-03-24,,,,,,,,2,2,2,6,3,3
2020-03-25,,,,,,,,2,2,2,6,3,3
2020-03-26,,,,,,,,3,3,2,8,3,5
2020-03-27,,,,,,,,3,5,2,10,4,6
2020-03-28,,,,,,,,3,5,4,12,5,7
2020-03-29,,,,,,,,3,6,4,13,6,7
2020-03-30,,,,,,,,3,6,9,18,8,10
2020-03-31,,,,,,,,3,7,9,19,8,11
2020-04-01,,,,,,,,4,7,9,20,8,12
2020-04-02,,,,,,,,4,8,11,23,10,13
2020-04-03,,,,,,,,4,8,14,26,13,13
2020-04-04,,,,,,,,4,9,17,30,15,15
2020-04-05,,,,,,,,6,10,17,33,15,18
2020-04-06,,,,,,,1,7,12,20,40,19,21
2020-04-07,,,,,,,1,7,12,22,42,21,21
2020-04-08,,,,,,,2,7,12,25,46,22,24
2020-04-09,,,,,,,2,7,13,26,48,23,25
2020-04-10,,,,,,,2,8,14,30,54,27,27
2020-04-11,,,,,,1,2,8,14,32,57,29,28
2020-04-12,,,,,,1,2,8,15,35,61,30,31
2020-04-13,,,,,,1,2,8,16,37,64,31,33
2020-04-14,,,,,,1,2,8,17,37,65,32,33
