"leto_teden","Polno_cepljeni_0_49","vsi_Polno_cepljeni_0_49","Polno_cepljeni_50_64","vsi_Polno_cepljeni_50_64","Polno_cepljeni_65_plus","vsi_Polno_cepljeni_65_plus","Cepljeni_z_dodatnim_odmerkom_0_49","vsi_Cepljeni_z_dodatnim_odmerkom_0_49","Cepljeni_z_dodatnim_odmerkom_50_64","vsi_Cepljeni_z_dodatnim_odmerkom_50_64","Cepljeni_z_dodatnim_odmerkom_65_plus","vsi_Cepljeni_z_dodatnim_odmerkom_65_plus","Necepljeni_0_49","vsi_Necepljeni_0_49","Necepljeni_50_64","vsi_Necepljeni_50_64","Necepljeni_65_plus","vsi_Necepljeni_65_plus"
"202109","0","14335","0","11328","1","22495","0","0","0","0","0","0","8","1101874","34","379961","128","319344"
"202110","0","14943","0","11716","2","23369","0","0","0","0","0","0","11","1096526","28","372751","86","304685"
"202111","0","15226","1","11879","2","23722","0","0","0","0","0","0","17","1085363","62","356564","111","297305"
"202112","0","15967","0","12294","2","33983","0","0","0","0","0","0","28","1080459","58","353711","142","289060"
"202113","0","16357","0","12578","2","53977","0","0","0","0","0","0","31","1068122","75","341078","141","263414"
"202114","0","16527","0","12689","2","73274","0","0","0","0","0","0","31","1058140","83","332863","147","222364"
"202115","0","16689","0","12777","6","81146","0","0","0","0","0","0","34","1053624","84","321283","121","181625"
"202116","0","16730","0","12838","7","87268","0","0","0","0","0","0","41","1049118","57","313303","102","156297"
"202117","0","16795","0","12934","0","89840","0","0","0","0","0","0","32","1036696","61","298549","92","144289"
"202118","0","16931","0","13165","5","113077","0","0","0","0","0","0","45","1031770","56","289793","68","136679"
"202119","0","17268","0","13839","6","141452","0","0","0","0","0","0","20","1021168","39","252516","68","127217"
"202120","0","18111","0","15288","3","179889","0","0","0","0","0","0","23","988996","22","226997","38","119120"
"202121","0","21261","0","18574","2","212503","0","0","0","0","0","0","15","945723","19","211301","35","112877"
"202122","2","30727","1","28768","2","226704","0","0","0","0","0","0","13","931868","21","201230","33","108015"
"202123","0","41239","0","49174","2","239981","0","0","0","0","0","0","15","894697","6","188910","15","103928"
"202124","0","51490","0","92325","4","252319","0","0","0","0","0","0","7","861100","10","181833","8","101254"
"202125","0","77778","0","130975","0","263173","0","0","0","0","0","0","3","842830","5","177910","3","99202"
"202126","0","111026","0","154154","1","270110","0","0","0","0","0","0","1","834902","3","175576","5","97821"
"202127","0","134772","0","167868","0","274733","0","0","0","0","0","0","2","827240","3","173136","2","96199"
"202128","0","161285","0","182731","0","280100","0","0","0","0","0","0","1","818337","2","169490","0","93432"
"202129","0","195308","0","194344","1","283876","0","2","0","0","0","1","1","804121","1","164204","3","90302"
"202130","0","220689","0","202039","0","286802","0","7","0","4","0","20","4","790578","2","158964","4","87168"
"202131","0","239509","0","207328","3","288858","0","11","0","5","0","21","5","777591","3","154117","3","84241"
"202132","0","253173","0","211720","3","290880","0","14","0","8","0","21","3","767377","11","150602","8","81761"
