"Datum","Necepljeni_potrjeni","Polno_cepljeni_potrjeni","Cepljeni_z_dodatnim_odmerkom_potrjeni","Necepljeni_7dnevno_povprecje","Polno_cepljeni_potrjeni_7dnevno_povprecje","Cepljeni_z_dodatnim_odmerkom_potrjeni_7dnevno_povprecje"
"4.03.2020","1","0","0","1","0","0"
"5.03.2020","5","0","0","3","0","0"
"6.03.2020","4","0","0","3,3333","0","0"
"7.03.2020","4","0","0","3,5","0","0"
"8.03.2020","5","0","0","3,8","0","0"
"9.03.2020","9","0","0","4,6667","0","0"
"10.03.2020","17","0","0","6,4286","0","0"
"11.03.2020","33","0","0","11","0","0"
"12.03.2020","48","0","0","17,1429","0","0"
"13.03.2020","44","0","0","22,8571","0","0"
"14.03.2020","30","0","0","26,5714","0","0"
"15.03.2020","35","0","0","30,8571","0","0"
"16.03.2020","24","0","0","33","0","0"
"17.03.2020","9","0","0","31,8571","0","0"
"18.03.2020","31","0","0","31,5714","0","0"
"19.03.2020","21","0","0","27,7143","0","0"
"20.03.2020","27","0","0","25,2857","0","0"
"21.03.2020","36","0","0","26,1429","0","0"
"22.03.2020","33","0","0","25,8571","0","0"
"23.03.2020","36","0","0","27,5714","0","0"
"24.03.2020","46","0","0","32,8571","0","0"
"25.03.2020","45","0","0","34,8571","0","0"
"26.03.2020","58","0","0","40,1429","0","0"
"27.03.2020","48","0","0","43,1429","0","0"
"28.03.2020","47","0","0","44,7143","0","0"
"29.03.2020","24","0","0","43,4286","0","0"
"30.03.2020","45","0","0","44,7143","0","0"
"31.03.2020","37","0","0","43,4286","0","0"
"1.04.2020","50","0","0","44,1429","0","0"
"2.04.2020","37","0","0","41,1429","0","0"
"3.04.2020","39","0","0","39,8571","0","0"
"4.04.2020","19","0","0","35,8571","0","0"
"5.04.2020","21","0","0","35,4286","0","0"
"6.04.2020","33","0","0","33,7143","0","0"
"7.04.2020","36","0","0","33,5714","0","0"
"8.04.2020","31","0","0","30,8571","0","0"
"9.04.2020","34","0","0","30,4286","0","0"
"10.04.2020","29","0","0","29","0","0"
"11.04.2020","16","0","0","28,5714","0","0"
"12.04.2020","7","0","0","26,5714","0","0"
"13.04.2020","8","0","0","23","0","0"
"14.04.2020","27","0","0","21,7143","0","0"
"15.04.2020","21","0","0","20,2857","0","0"
"16.04.2020","34","0","0","20,2857","0","0"
"17.04.2020","13","0","0","18","0","0"
"18.04.2020","12","0","0","17,4286","0","0"
"19.04.2020","5","0","0","17,1429","0","0"
"20.04.2020","9","0","0","17,2857","0","0"
"21.04.2020","9","0","0","14,7143","0","0"
"22.04.2020","11","0","0","13,2857","0","0"
"23.04.2020","7","0","0","9,4286","0","0"
"24.04.2020","13","0","0","9,4286","0","0"
"25.04.2020","8","0","0","8,8571","0","0"
