date,temp_LJ,temp_NM,temp_PO,temp_MS,temp_BC
2020-03-04,5.4,5.9,7,6.4,1.1
2020-03-05,5.6,7.6,7.1,6.2,2.2
2020-03-06,4.4,7.3,7.6,5.8,1.7
2020-03-07,7.6,7.8,11.2,7.5,2.4
2020-03-08,5,4,7.4,3.5,2
2020-03-09,6.6,7.7,7.3,6.6,4.8
2020-03-10,7.8,8.9,7.9,9.7,3.2
2020-03-11,11,12.6,8.4,13.6,7.5
2020-03-12,11.4,12.3,10.5,12.7,7
2020-03-13,8.3,8.6,13.2,6.8,7.7
2020-03-14,8.5,8.3,12.2,6.7,5.7
2020-03-15,5.6,4.4,8.8,2.1,3.4
2020-03-16,7.4,5.1,6,4.7,3.8
2020-03-17,10.9,11.1,6.8,10.6,8.6
2020-03-18,11.9,11.6,12.1,10.1,8.3
2020-03-19,13,11,11.8,10.1,8.9
2020-03-20,12.8,13.4,9.7,10.9,8.6
2020-03-21,10,9.9,10.8,7.4,8.6
2020-03-22,3.7,3.4,8.1,2,2.3
2020-03-23,2.2,1.9,5.4,1.3,-0.1
2020-03-24,2,0.3,5.8,2.6,1.5
2020-03-25,0.8,-0.3,5.1,0.4,0.1
2020-03-26,2.6,1.2,7.6,3.3,-0.2
2020-03-27,9.2,7,11.6,8.3,4.4
2020-03-28,9.3,8.1,9.8,8.8,6.8
2020-03-29,11.1,11,10.1,10.6,8.9
2020-03-30,3.2,3.6,9.4,4.1,1.5
2020-03-31,3.4,2.6,6.9,2,0.5
2020-04-01,3.8,1.6,5.7,1.6,0.4
2020-04-02,5.5,4.1,4.9,3.7,3
2020-04-03,9.8,8.2,6.8,9.9,5.8
2020-04-04,10.3,8.6,13.8,9.3,6.4
2020-04-05,11.7,10.7,16.5,8.5,7.8
2020-04-06,12.3,11.3,13.1,8.7,9
2020-04-07,11.6,9.1,12,7.9,8.2
2020-04-08,11.5,10.4,12.5,8.9,8.1
2020-04-09,13.4,12.2,12.6,11.4,11.1
2020-04-10,16,14.8,15.1,14.3,12
2020-04-11,16.9,15.7,15.2,14.6,12.1
2020-04-12,17,15.9,14.7,16.3,11.8
2020-04-13,15.6,16.3,16.4,16.1,11.8
2020-04-14,5.4,2.9,11,4.2,3.2
2020-04-15,7.7,6.6,7.6,6.6,6.2
2020-04-16,12.9,13.9,11.4,13.5,10.5
2020-04-17,15.6,15.7,11.1,17.6,12.6
2020-04-18,16.7,16.7,13.7,18.1,14.2
2020-04-19,17.3,16.9,14.9,14.4,15.3
2020-04-20,12.3,12.5,17.1,9.8,9.3
2020-04-21,12.4,10.9,15.6,9.5,8.8
2020-04-22,13.1,11.6,15.5,10.3,9.5
2020-04-23,12.9,11.7,13.5,10.5,10.2
2020-04-24,15.4,15.3,14.4,14.6,12.4
2020-04-25,17.2,17.7,15.2,15,13.1
2020-04-26,15.7,14.8,14.5,12.8,12
2020-04-27,16.6,17,14.8,14.4,12.2
2020-04-28,14.2,15.6,16.6,16.7,12.8
2020-04-29,12.7,13.5,15.5,14.4,10.2
